,,hex,,,,,LVDS2mLVDS,eDP2mLVDS,LVDS2eDP,RGB2eDP,LVDS2mLVDS(Hex),eDP2mLVDS(Hex),LVDS2eDP(Hex),RGB2eDP(Hex),,,,
,271-264,3b,,7-0,dr_fine_step1_low,,00000001,00000001,00000001,,1,,01,,,,,
,279-272,3c,,7-0,dr_fine_step1_high,,00000000,00000000,00000000,,0,,00,,,,,
,287-280,3d,,7-0,dr_en_step0_low,,00000000,00000000,00000000,,0,,00,,,,,
,295-288,3e,,7-0,dr_en_step0_high,,00000000,00000000,00000000,,0,,00,,,,,
,303-296,3f,,7-0,dr_en_step1_low,,01100100,01100100,01100100,,64,,64,,,,,
,311-304,40,,7-0,dr_en_step1_high,,00000000,00000000,00000000,,0,,00,,,,,
,319-312,41,,7-0,eq_cal_step0_low,,01100010,01100010,01100010,,62,,62,,,,,
,327-320,42,,7-0,eq_cal_step0_high,,00000000,00000000,00000000,,0,,00,,,,,
,335-328,43,,7-0,eq_cal_step1_low,,00000010,00000010,00000001,,2,,01,,,,,
,343-336,44,,7-0,eq_cal_step1_high,,00000000,00000000,00000000,,0,,00,,,,,
,351-344,45,,7-0,eq_en_step0_low,,00000000,00000000,00000000,,0,,00,,,,,
,359-352,46,,7-0,eq_en_step0_high,,00000000,00000000,00000000,,0,,00,,,,,
,367-360,47,,7-0,eq_en_step1_low,,00000001,00000001,00000001,,1,,01,,,,,
,375-368,48,,7-0,eq_en_step1_high,,00000000,00000000,00000000,,0,,00,,,,,
,383-376,49,,7-0,cdr_cal_step0_low,,01100010,01100010,01100010,,62,,62,,,,,
,391-384,4a,,7-0,cdr_cal_step0_high,,00000000,00000000,00000000,,0,,00,,,,,
,399-392,4b,,7-0,cdr_cal_step1_low,,00000010,00000010,00000010,,2,,02,,,,,
,407-400,4c,,7-0,cdr_cal_step1_high,,00000000,00000000,00000000,,0,,00,,,,,
,415-408,4d,,7-0,cdr_en_step0_low,,00000000,00000000,00000000,,0,,00,,,,,
,423-416,4e,,7-0,cdr_en_step0_high,,00000000,00000000,00000000,,0,,00,,,,,
,431-424,4f,,7-0,cdr_en_step1_low,,00000001,00000001,00000001,,1,,01,,,,,
,439-432,50,,7-0,cdr_en_step1_high,,00000000,00000000,00000000,,0,,00,,,,,
,447-440,51,,7-0,NC,,00000000,00000000,00000000,,0,,00,,,,,
,455-448,52,,7-0,NC,,,,,,0,0,00,0,,,,
ana_stat,7:0,53,5-0,5-0,pll_stat,RO,,,,,0,0,00,0,,,,
,,,7-6,7-6,bg_stat,RO,,,,,0,0,00,0,,,,
,15:8,54,,7-0,calvalid,RO,,,,,0,0,00,0,,,,
,23:16,55,,7-0,dll code output,RO,,,,,0,0,00,0,,,,
,31:24,56,,7-0,dll code output,RO,,,,,0,0,00,0,,,,
,63:32,5a-57,62-32,,Coares<31:1>,RO,,,,,0,0,00,0,,,,
,,,63,,NC,RO,,,,,0,0,00,0,,,,
,71:64,5b,70-64,6-0,eq_dig,RO,,,,,0,0,00,0,,,,
,,,71,7,NC,RO,,,,,0,0,00,0,,,,
,79:72,5c,73-72,1-0,hsrx0_phase,RO,,,,,0,0,00,0,,,,
,,,74,2,hsrx0_dr_calvalid,RO,,,,,0,0,00,0,,,,
,,,76-75,4-3,hsrx2_phase,RO,,,,,0,0,00,0,,,,
,,,77,5,hsrx2_dr_calvalid,RO,,,,,0,0,00,0,,,,
,,,79-78,7-6,NC,RO,,,,,0,0,00,0,,,,
,,,,,,,,,,,,,,,,,,
